gender,num_of_prev_attempts,studied_credits,disability,date_registration,sum_click,date_submitted,score,weight,module_presentation_length,A Level or Equivalent,Lower Than A Level,HE Qualification,Post Graduate Qualification,No Formal quals,0-35,35-55,55<=,final_result
1,0,60,0,-24,840,159,80,18,240,1,0,0,0,0,0,1,0,1
1,0,180,1,-51,621,159,61,18,240,0,1,0,0,0,1,0,0,1
0,0,60,0,-22,1739,158,86,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-16,739,158,91,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-23,662,170,83,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-50,949,159,83,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-49,195,160,79,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-36,586,155,68,18,240,0,1,0,0,0,1,0,0,0
1,0,120,0,-50,1227,159,93,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-30,487,156,90,18,240,1,0,0,0,0,0,1,0,1
0,0,120,0,-25,603,164,80,18,240,1,0,0,0,0,0,1,0,0
1,0,60,0,-15,472,158,34,18,240,0,1,0,0,0,1,0,0,0
1,0,60,0,-4,603,173,43,18,240,0,1,0,0,0,0,1,0,2
0,0,120,0,-34,548,158,87,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-46,1037,142,78,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-25,719,158,60,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-25,140,155,76,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-29,876,157,60,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-46,288,159,30,18,240,1,0,0,0,0,1,0,0,0
1,0,60,0,-36,747,158,77,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-44,700,157,77,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-34,1227,167,75,18,240,0,1,0,0,0,0,1,0,1
1,0,120,0,-44,1104,157,79,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-42,3550,163,84,18,240,0,1,0,0,0,1,0,0,0
0,0,120,0,-44,1024,157,80,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-44,1730,158,81,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-34,1009,159,60,18,240,1,0,0,0,0,1,0,0,1
1,0,60,1,-15,2397,154,84,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-43,687,157,89,18,240,0,0,1,0,0,1,0,0,1
1,0,120,0,-24,1171,159,90,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-34,696,156,93,18,240,0,0,1,0,0,0,1,0,1
1,0,60,0,-23,259,162,36,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-34,1897,154,87,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-34,598,159,79,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-22,257,166,70,18,240,0,0,1,0,0,0,1,0,1
1,0,60,0,-30,1176,164,60,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-22,1146,159,67,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-30,491,157,92,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-30,439,166,56,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-30,582,158,67,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-30,320,174,80,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-30,235,172,47,18,240,0,1,0,0,0,0,1,0,1
1,0,120,0,-30,792,158,67,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-30,2722,157,80,18,240,0,0,1,0,0,0,1,0,1
0,0,60,0,-29,1426,184,80,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-29,1134,187,70,18,240,0,0,1,0,0,0,1,0,1
1,0,60,0,-23,386,158,37,18,240,1,0,0,0,0,0,1,0,0
1,0,60,0,-22,801,160,85,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-25,1157,159,74,18,240,0,1,0,0,0,0,1,0,1
1,0,75,0,-22,691,158,48,18,240,1,0,0,0,0,1,0,0,0
1,0,60,0,-16,619,159,69,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-28,613,168,79,18,240,0,1,0,0,0,1,0,0,0
1,0,60,0,-21,1052,170,78,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-27,476,165,64,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-27,1668,161,95,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-25,13144,157,85,18,240,0,1,0,0,0,0,1,0,1
1,0,70,0,-27,468,158,75,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-15,191,159,49,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-22,400,158,70,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-23,388,159,80,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-23,195,159,82,18,240,0,0,1,0,0,0,1,0,1
1,0,120,0,-24,431,159,80,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-24,449,158,71,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-24,403,150,65,18,240,0,1,0,0,0,1,0,0,1
1,0,60,1,-23,276,159,32,18,240,1,0,0,0,0,1,0,0,0
1,0,60,0,-23,994,157,81,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-25,1104,160,65,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-22,225,159,67,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-25,2764,158,76,18,240,0,1,0,0,0,1,0,0,1
0,0,60,0,-25,1031,157,67,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-19,948,147,87,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-24,191,159,55,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-23,2230,159,65,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-15,1267,136,73,18,240,0,1,0,0,0,1,0,0,0
1,0,120,0,-73,2562,187,55,18,240,0,1,0,0,0,1,0,0,1
0,0,60,0,-60,5906,187,70,18,240,1,0,0,0,0,0,1,0,1
1,2,120,0,-58,706,189,82,18,240,1,0,0,0,0,0,1,0,1
0,0,120,1,-16,391,187,73,18,240,1,0,0,0,0,0,1,0,0
1,0,60,0,-65,198,193,73,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-22,432,183,95,18,240,0,1,0,0,0,1,0,0,1
1,0,60,1,-53,176,187,5,18,240,0,1,0,0,0,1,0,0,0
1,0,240,0,-17,270,186,84,18,240,0,0,1,0,0,0,1,0,1
1,0,180,0,2,208,187,79,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-24,489,187,70,18,240,0,1,0,0,0,0,1,0,1
1,0,180,0,-19,352,167,64,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-60,879,182,60,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-51,954,187,40,18,240,0,0,1,0,0,0,1,0,1
0,0,120,0,-27,657,153,96,18,240,1,0,0,0,0,1,0,0,1
0,0,75,0,-66,1018,187,71,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-19,1616,185,74,18,240,1,0,0,0,0,0,1,0,1
1,0,120,0,-227,1350,187,90,18,240,0,0,1,0,0,0,1,0,1
1,3,135,0,-43,974,187,60,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-50,984,176,98,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-22,145,185,78,18,240,0,0,1,0,0,0,1,0,1
1,0,120,0,-19,1451,186,95,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-108,411,187,84,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-44,396,183,92,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-43,5032,184,66,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-28,1179,187,81,18,240,0,0,1,0,0,0,1,0,1
1,0,60,1,-29,1292,187,85,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-55,1360,187,88,18,240,0,0,1,0,0,0,1,0,1
1,0,120,1,-16,704,187,95,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-45,862,187,69,18,240,1,0,0,0,0,1,0,0,1
1,0,60,1,-23,424,185,80,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-104,299,187,82,18,240,0,1,0,0,0,0,1,0,1
1,1,120,0,-82,842,184,86,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-34,417,186,77,18,240,0,0,1,0,0,1,0,0,1
1,2,120,0,-43,239,188,75,18,240,0,1,0,0,0,0,1,0,1
1,2,60,0,-54,4702,185,74,18,240,0,1,0,0,0,0,1,0,1
1,1,120,1,-127,2817,187,61,18,240,0,1,0,0,0,0,1,0,0
0,0,120,0,-19,1314,183,90,18,240,0,1,0,0,0,1,0,0,1
0,0,120,0,-74,852,181,72,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-24,1111,186,73,18,240,0,0,1,0,0,0,1,0,1
0,0,60,0,-29,3262,187,75,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-22,1360,186,79,18,240,0,0,1,0,0,1,0,0,1
1,1,60,0,-121,2514,187,29,18,240,0,0,1,0,0,1,0,0,0
1,0,60,0,-34,1136,181,65,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-25,410,187,72,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-115,379,186,71,18,240,1,0,0,0,0,0,1,0,0
1,0,60,0,-72,1433,185,83,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-34,421,185,85,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-25,329,182,85,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-108,1274,183,72,18,240,0,1,0,0,0,1,0,0,1
0,0,60,0,-79,559,187,13,18,240,0,1,0,0,0,1,0,0,0
1,0,60,0,-101,744,187,79,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-162,649,187,73,18,240,1,0,0,0,0,0,1,0,1
1,2,60,0,-51,408,187,58,18,240,0,1,0,0,0,0,1,0,1
1,1,120,1,-88,373,203,61,18,240,1,0,0,0,0,1,0,0,0
1,0,60,0,-59,1953,197,75,18,240,1,0,0,0,0,1,0,0,1
1,0,325,0,-107,6663,185,70,18,240,0,1,0,0,0,0,1,0,1
1,1,120,0,-131,653,186,13,18,240,1,0,0,0,0,1,0,0,1
1,3,60,0,-9,868,187,55,18,240,0,1,0,0,0,0,1,0,1
1,0,120,0,-19,741,187,84,18,240,0,1,0,0,0,0,1,0,1
0,0,60,0,-28,352,187,63,18,240,0,1,0,0,0,0,1,0,0
1,0,120,0,-256,2755,184,74,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-45,511,186,75,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-16,2443,186,58,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-28,557,187,61,18,240,1,0,0,0,0,1,0,0,1
1,1,120,1,-25,287,186,58,18,240,0,0,1,0,0,1,0,0,0
1,0,90,0,-43,600,184,79,18,240,0,0,1,0,0,0,1,0,1
1,0,120,0,-43,177,186,83,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-156,569,186,65,18,240,0,1,0,0,0,0,1,0,1
1,0,90,0,-68,689,186,81,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-12,626,187,76,18,240,1,0,0,0,0,1,0,0,1
1,1,120,0,-100,522,185,57,18,240,0,0,1,0,0,0,1,0,1
1,2,130,0,-21,1014,187,59,18,240,1,0,0,0,0,1,0,0,1
1,0,150,0,-79,155,174,60,18,240,0,1,0,0,0,1,0,0,1
1,2,60,0,-16,701,187,51,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-74,724,187,90,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-18,2396,187,81,18,240,1,0,0,0,0,0,1,0,1
1,0,150,0,-24,1786,187,73,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-81,568,182,70,18,240,0,0,0,1,0,0,1,0,1
1,0,180,0,-166,472,186,62,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-104,640,182,56,18,240,0,1,0,0,0,1,0,0,1
0,0,120,0,-64,465,187,78,18,240,0,0,1,0,0,1,0,0,1
1,0,120,0,-260,1170,185,89,18,240,1,0,0,0,0,0,1,0,1
1,0,240,0,-53,188,187,65,18,240,1,0,0,0,0,1,0,0,0
1,1,120,0,-16,484,186,67,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-179,412,177,95,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-96,1051,188,79,18,240,0,1,0,0,0,1,0,0,0
0,1,60,0,-55,132,187,82,18,240,0,1,0,0,0,0,1,0,0
1,0,120,0,-113,911,185,80,18,240,0,0,1,0,0,1,0,0,1
1,2,60,0,-54,624,187,65,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-22,1429,183,90,18,240,0,1,0,0,0,1,0,0,1
0,1,60,0,-27,940,194,90,18,240,1,0,0,0,0,1,0,0,1
0,1,120,0,-24,190,187,0,18,240,0,1,0,0,0,0,1,0,0
1,0,240,0,6,316,187,86,18,240,0,1,0,0,0,1,0,0,1
0,1,180,0,-88,3713,184,80,18,240,1,0,0,0,0,0,1,0,1
1,0,60,1,-102,998,187,67,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-27,1944,186,83,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-53,1816,187,84,18,240,0,1,0,0,0,0,1,0,1
1,1,120,0,-50,194,186,67,18,240,0,1,0,0,0,1,0,0,0
1,2,120,0,-42,788,187,77,18,240,0,1,0,0,0,1,0,0,1
1,1,120,1,-144,9151,187,90,18,240,1,0,0,0,0,0,1,0,1
0,0,150,0,-23,4736,187,63,18,240,0,1,0,0,0,0,1,0,1
1,0,120,0,-15,608,192,75,18,240,1,0,0,0,0,0,1,0,1
0,0,120,0,-16,560,187,75,18,240,0,0,1,0,0,1,0,0,1
0,0,120,0,-19,896,187,90,18,240,1,0,0,0,0,1,0,0,1
1,0,60,1,-221,375,187,85,18,240,1,0,0,0,0,1,0,0,1
1,1,120,0,-94,672,185,72,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-106,1338,187,90,18,240,0,1,0,0,0,1,0,0,1
1,1,60,0,-43,1328,187,70,18,240,1,0,0,0,0,1,0,0,0
1,1,60,0,-77,1424,183,54,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-30,760,185,84,18,240,1,0,0,0,0,0,1,0,1
1,0,120,0,-51,3771,187,95,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-66,1439,186,89,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-30,2268,187,90,18,240,1,0,0,0,0,1,0,0,1
1,1,60,0,-97,553,195,62,18,240,0,1,0,0,0,1,0,0,0
0,1,120,0,-118,734,186,83,18,240,0,1,0,0,0,1,0,0,1
1,2,120,0,-54,966,180,81,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-99,330,174,59,18,240,0,0,0,0,1,0,1,0,0
1,0,60,1,-36,542,199,81,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-94,1051,186,61,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-92,757,184,50,18,240,0,1,0,0,0,0,1,0,1
0,1,60,0,-34,1204,187,85,18,240,1,0,0,0,0,1,0,0,1
0,1,60,0,-66,352,186,82,18,240,1,0,0,0,0,1,0,0,1
1,1,60,0,-18,508,187,73,18,240,0,1,0,0,0,1,0,0,1
1,1,60,0,-123,385,190,75,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-30,885,185,83,18,240,1,0,0,0,0,0,1,0,1
1,2,120,0,-87,1387,194,63,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-16,2113,192,85,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-8,1698,177,63,18,240,0,1,0,0,0,1,0,0,1
1,0,90,0,-107,9301,186,81,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-53,1556,186,89,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-53,1450,187,87,18,240,1,0,0,0,0,1,0,0,1
1,1,60,0,-82,551,197,75,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-54,1408,182,83,18,240,0,1,0,0,0,1,0,0,1
0,0,120,1,-79,376,187,78,18,240,0,1,0,0,0,0,1,0,1
1,0,120,0,-36,541,179,65,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-23,265,187,36,18,240,0,1,0,0,0,0,1,0,1
1,2,120,0,-55,953,187,0,18,240,1,0,0,0,0,1,0,0,0
1,0,60,0,-68,250,186,64,18,240,0,0,1,0,0,1,0,0,1
1,0,180,0,-159,1060,184,71,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-73,800,195,63,18,240,0,1,0,0,0,0,1,0,0
1,2,120,0,-22,612,187,79,18,240,1,0,0,0,0,1,0,0,1
1,1,270,0,-28,1734,187,65,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-130,1490,187,67,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-68,354,186,83,18,240,0,1,0,0,0,1,0,0,1
1,1,60,0,-55,675,185,84,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-136,312,185,74,18,240,1,0,0,0,0,1,0,0,1
1,2,120,0,-113,427,187,71,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-102,495,187,75,18,240,0,0,1,0,0,1,0,0,1
1,0,120,0,-89,347,187,54,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-42,562,186,87,18,240,1,0,0,0,0,1,0,0,1
1,1,60,0,-73,1465,183,81,18,240,0,1,0,0,0,0,1,0,1
1,1,120,0,-128,412,188,65,18,240,1,0,0,0,0,1,0,0,1
0,1,60,0,-61,297,187,34,18,240,0,0,1,0,0,0,1,0,0
1,2,240,1,69,97,187,80,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-15,5327,186,87,18,240,0,0,1,0,0,1,0,0,1
1,0,90,0,-65,325,186,95,18,240,1,0,0,0,0,1,0,0,1
1,1,180,1,-50,348,188,66,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-127,8925,180,98,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-46,381,181,52,18,240,1,0,0,0,0,1,0,0,0
1,1,60,0,-51,729,186,62,18,240,1,0,0,0,0,0,1,0,1
1,0,150,0,-90,792,186,76,18,240,0,1,0,0,0,0,1,0,0
1,1,60,1,-71,3599,186,92,18,240,0,0,1,0,0,0,1,0,1
0,0,60,0,-28,987,187,80,18,240,0,0,1,0,0,0,1,0,1
1,1,60,0,-21,587,187,66,18,240,1,0,0,0,0,0,1,0,1
1,0,60,1,-106,1212,180,73,18,240,1,0,0,0,0,1,0,0,1
1,1,135,0,-115,569,184,83,18,240,0,0,1,0,0,1,0,0,1
1,0,60,1,-30,605,186,66,18,240,0,1,0,0,0,1,0,0,1
1,2,180,0,-22,288,187,60,18,240,1,0,0,0,0,0,1,0,1
1,0,120,0,-22,800,186,86,18,240,0,0,1,0,0,1,0,0,1
1,1,60,0,-52,696,169,86,18,240,0,1,0,0,0,0,1,0,1
0,0,60,0,-25,530,187,83,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-61,193,187,52,18,240,1,0,0,0,0,1,0,0,0
0,0,120,1,-96,1417,190,72,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-36,1301,187,74,18,240,0,0,1,0,0,1,0,0,1
1,1,120,0,-23,371,187,70,18,240,1,0,0,0,0,0,1,0,2
1,0,60,0,-113,444,184,85,18,240,0,0,1,0,0,1,0,0,1
1,0,60,0,-30,3323,186,66,18,240,0,1,0,0,0,0,1,0,1
1,0,120,0,-42,1009,187,79,18,240,0,0,1,0,0,1,0,0,1
1,1,120,1,-142,879,187,65,18,240,0,1,0,0,0,1,0,0,1
1,0,90,0,-58,2518,184,90,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-18,164,185,68,18,240,1,0,0,0,0,0,1,0,0
1,0,60,0,-127,5215,183,69,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-100,140,187,60,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-67,1750,186,88,18,240,0,0,1,0,0,0,1,0,1
1,0,120,0,-94,672,185,72,18,240,0,0,0,0,1,1,0,0,1
1,1,180,0,-16,186,176,85,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-24,8921,187,92,18,240,1,0,0,0,0,1,0,0,1
1,1,120,0,-53,1124,184,67,18,240,1,0,0,0,0,1,0,0,1
0,0,120,0,-24,379,187,69,18,240,1,0,0,0,0,0,1,0,1
1,0,60,0,-21,832,183,89,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-61,6072,186,100,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-155,2147,181,67,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-65,1129,186,81,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-72,1752,182,86,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-30,1871,176,85,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-88,221,186,88,18,240,0,1,0,0,0,1,0,0,1
0,0,60,0,-25,853,184,87,18,240,1,0,0,0,0,0,1,0,1
1,0,120,0,-15,295,187,62,18,240,0,0,1,0,0,0,1,0,1
1,0,60,0,-55,2074,185,73,18,240,1,0,0,0,0,1,0,0,1
1,0,120,0,-23,1186,198,91,18,240,0,1,0,0,0,1,0,0,1
1,0,135,1,-16,1326,184,79,18,240,0,1,0,0,0,0,1,0,1
1,0,120,0,-170,602,186,56,18,240,0,1,0,0,0,1,0,0,0
1,1,240,0,-122,428,186,70,18,240,0,0,0,0,1,1,0,0,1
1,1,180,0,-34,1352,187,80,18,240,0,1,0,0,0,0,1,0,0
1,0,60,0,-30,624,185,96,18,240,1,0,0,0,0,0,1,0,1
1,1,180,0,-106,245,187,58,18,240,0,1,0,0,0,1,0,0,1
1,1,120,0,-68,770,186,78,18,240,1,0,0,0,0,1,0,0,1
1,1,180,0,-132,1028,181,73,18,240,1,0,0,0,0,1,0,0,1
1,1,120,0,-106,1246,178,88,18,240,0,1,0,0,0,1,0,0,1
1,1,120,0,-25,373,187,54,18,240,0,1,0,0,0,1,0,0,0
1,1,120,0,-55,757,187,85,18,240,1,0,0,0,0,0,1,0,1
1,1,180,0,-79,246,186,84,18,240,1,0,0,0,0,1,0,0,0
1,1,120,0,-161,423,186,17,18,240,0,1,0,0,0,1,0,0,0
1,0,60,0,-127,465,180,65,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-94,1255,183,62,18,240,0,1,0,0,0,1,0,0,1
1,0,120,0,-53,468,173,78,18,240,1,0,0,0,0,1,0,0,1
1,1,120,0,-36,1566,186,74,18,240,1,0,0,0,0,1,0,0,1
1,1,120,0,-127,437,187,66,18,240,1,0,0,0,0,1,0,0,0
1,1,120,0,-116,702,187,62,18,240,0,1,0,0,0,1,0,0,1
1,0,135,1,-25,695,187,13,18,240,0,1,0,0,0,1,0,0,0
0,0,120,0,-15,121,186,80,18,240,1,0,0,0,0,1,0,0,0
1,0,60,0,-27,925,187,81,18,240,0,1,0,0,0,0,1,0,1
1,0,135,0,-24,147,187,60,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-65,328,187,78,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-16,955,184,93,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-102,471,164,95,18,240,1,0,0,0,0,1,0,0,1
0,0,60,0,-12,393,187,90,18,240,1,0,0,0,0,0,1,0,1
1,1,120,0,-23,396,187,80,18,240,0,1,0,0,0,1,0,0,1
1,0,60,0,-59,555,187,65,18,240,1,0,0,0,0,1,0,0,1
1,0,60,1,-15,432,187,34,18,240,0,1,0,0,0,0,1,0,1
1,0,60,0,-28,172,188,71,18,240,0,1,0,0,0,1,0,0,1
1,0,90,0,-25,206,187,63,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-51,4028,185,83,18,240,0,0,1,0,0,0,1,0,1
1,0,60,0,-59,2172,186,85,18,240,0,1,0,0,0,1,0,0,1
1,1,120,0,-29,498,185,74,18,240,0,1,0,0,0,1,0,0,1
1,0,60,1,-52,1537,186,66,18,240,1,0,0,0,0,1,0,0,1
1,0,60,0,-109,255,187,71,18,240,0,1,0,0,0,1,0,0,1
